Location,Price,Bedrooms,Bathrooms,Listing Name
St. John's,-1,4,3.0,For Sale: A Downtown Delight
Bay Roberts,339900,3,2.0,"New Pond Front Home! 34 Jack Pine Pl, Spaniards Bay -MLS#1237263"
Conception Bay South,154900,3,1.0,"2676 Topsail Road Conception Bay South, Newfoundland & Labrador"
Whitbourne,324900,3,2.0,"125 Amber Drive Whitbourne, Newfoundland & Labrador"
St. John's,58000,2 + Den,2,Saltbox for Sale in Grand Bank
St. John's,349900,4,3.0,"88 Portugal Cove Road St John's, Newfoundland & Labrador"
St. John's,239000,3,3.0,"8 Burkes Lane Carbonear, Newfoundland & Labrador"
St. John's,55000,2,1.0,"12 Flynn Street Placentia, Newfoundland & Labrador"
St. John's,59900,4,1.0,"Homes for Sale in Grand Bank, Newfoundland and Labrador $59,900"
St. John's,49999,2,1.0,12 Old Brigus Road
St. John's,94500,3,2.0,"18 Ship Cove Crescent Burin, Newfoundland & Labrador"
St. John's,335000,4,5.0,"204 MAIN Street BURIN Bay Arm, Newfoundland & Labrador"
St. John's,253000,4,2.0,"533 Empire Avenue St. John's, Newfoundland & Labrador"
St. John's,234900,2,2.0,"14 Clode Sound Drive South Drive Port Blandford, Newfoundland &"
St. John's,249900,2,2.0,"Lot 46 Lori Ann Place Clarenville, Newfoundland & Labrador"
St. John's,829000,3,3.0,"8 Commodore Place Conception Bay South, Newfoundland & Labrador"
St. John's,254900,3,2.0,"33 PERCY Drive Clarenville, Newfoundland & Labrador"
St. John's,299500,4,4.0,"6 Greenwood Street Creston South, Newfoundland & Labrador"
St. John's,374900,2,2.0,"6 Leonard J. Crowley Street St. John's, Newfoundland & Labrador"
St. John's,269900,0,0,"20 Hannons Avenue Placentia, Newfoundland & Labrador"
St. John's,325000,0,0,"10-12 Rocky Hill Road Upper Island Cove, Newfoundland & Labrador"
St. John's,279900,0,0,"14 Random Island Road Random Island, Newfoundland & Labrador"
St. John's,89900,0,0,"42 Spoon Cove Road Upper Island Cove, Newfoundland & Labrador"
St. John's,230000,0,0,"52-54 Freshwater Pond Road Lewin's Cove, Newfoundland & Labrador"
St. John's,129900,0,0,"12 Main Highway Sibleys Cove, Newfoundland & Labrador"
St. John's,339900,0,0,"10 Withers Place St. John's, Newfoundland & Labrador"
St. John's,275900,0,0,"Lot 57 Conway Drive Elmsdale, Nova Scotia"
St. John's,267900,0,0,"17 Nicholas Quinn Place Paradise, Newfoundland & Labrador"
St. John's,267900,0,0,"15 Nicholas Quinn Place Paradise, Newfoundland & Labrador"
St. John's,299900,0,0,"5 Nicholas Quinn Place Paradise, Newfoundland & Labrador"
St. John's,299900,0,0,"7 Nicholas Quinn Place Paradise, Newfoundland & Labrador"
St. John's,259900,0,0,"4 Nicholas Quinn Place Paradise, Newfoundland & Labrador"
St. John's,259900,0,0,"2 Nicholas Quinn Place Paradise, Newfoundland & Labrador"
St. John's,79900,0,0,"267 Main Road Bellevue Beach, Newfoundland & Labrador"
St. John's,415000,0,0,"16 Goldeneye Place Mount Pearl, Newfoundland & Labrador"
St. John's,124900,0,0,"7 Cable Avenue Bay Roberts, Newfoundland & Labrador"
St. John's,319900,0,0,"18 Lancaster Crescent Mount Pearl, Newfoundland & Labrador"
