Model,Storage,Price,Description
I phone, ,"$1,000.00",I phone 12 for sale Perfect condition only bought 7 months ago. Only reason for selling is because I upgraded to the pro max. Battery life 97%
iPhone 8,64gb,$250.00,Phone is in great shape and comes with the original box. Has 64gb storage no scratches or cracks.
iPhone 12, ,$800.00,"Completely brand new and boxed, comes complete with all supplied accessories, unlocked to all networks and never used or activated. It has a 1 year warranty from Apple after the phone is activated! Any questions or if you'd like to come and have a look get in touch. Thanks for looking!"
Iphone XR,64gb,$420.00,"iPhone XR 64 GB in good condition, works perfect with 92% of battery life Reason why I’m selling because I upgraded No scratches or cracks clean phone always in screen protector and case. Comes with ..."
I phone,gb.,Please Contact,gold lightly cracked and scratched iPhone 6s. 64 gb. Unlocked.
iPhone 8,64gb,$350.00,Unlocked IPhone 8 Plus 64gb (red) Great condition Comes with brand new case and brand new tempered glass screen protector.
IPhone 6s, ,$200.00,Works perfectly. Upgraded for cheaper monthly Bill. Small crack in bottom left hand corner of front screen (3rd photo). Rose gold back. Purchased in 2016. Locked with Koodo.
iPhone 10, ,$200.00,iPhone ten with cracked back other then that’s the front screen is perfect 200
iPhone XS, ,$600.00,Like new iPhone XS Max Reason for selling: upgraded! Battery Health is at 94%
I phone, ,$200.00,1 year old ....works great.....great condition......upgraded to a new phone .....200 bananas ..... very firm
iPhone x,64gb,$300.00,"Looking to sell my gold iPhone xs, the front screen is cracked but doesn’t effect anything still works perfect. 64gb comes with a otter box case 300obo Text or call 9025785459"
Iphone 12, ,$899.00,Phone has 100% battery health hasn't been used At all. I prefer android so selling it. Firm price No low ballers
iPhone 11,64gb,$450.00,"I have an iPhone 11 64 gb for sale, has a few minor scratches on screen but nothing major, has a screen protector on with cracks in it, just left it on to keep the screen intact, asking 450 obo. ..."
iPhone Samsung, ,"$59.97
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/MjQwWDU5Ng==/z/9i8AAOSwE9hcYy4m/$_69.JPG"">","CELLULAR SAVINGS 5874367805 Cellularsavings.ca Info@cellularsavings.ca SELLING THE FOLLOWING PHONES STARTING AT $59.97.!! LIMITED TIME ONLY! We have a MASSIVE BLOWOUT SALE going on right now! For orders over $200, use the discount code #Blowout10 for $10 off your order. ***************************************"
I phone, ,$300.00,I have an I phone 8 plus. 88% battery life. selling cause I upgraded and no longer need it..
iPhone Screen, ,Please Contact,"Offering 24/7 service, fast turn-around, ONLY high quality components. I've personally been fixing electronics for 10+ years and have been specifically working on iPhones since 2012. I have fixed ..."
iPhone , ,$60.00,Front and back screen should be replaced STILL WORKS PERFECTLY FINE NO charger Case is included Rose gold in colour $60 firm
iPhone 7, ,$250.00,iPhone 7 Plus 100% battery capacity brand new screen $250 obo
iPhone 11, ,$900.00,"iPhone 11 Pro Max: - The phone is unlocked. - Perfect condition - It has never been outside of a full body, protective case (with screen protector). Included. - 8 months old, 95% battery health. - ..."
iPhone se,gb.,$70.00,Used iPhone se. first generation. 64 gb. No cracks or scratches. Was used in a Telus contract.
iPhone 5,32gb,$40.00,Used iPhone 5s. 32gb of space. Was used on Telus contract. Crack across top of screen.
Iphone xs, ,$625.00,"Mint condition includes everything original, Selling because upgrade to 12 pro. Contact me if you interested. Thank you"
