Model,Storage,Price,Description,Link
I phone, ,"$1,000.00",Perfect condition Only 7months old Reason for selling is because I upgraded 97% battery life $1000,https://kijiji.ca/v-cell-phone/cape-breton/i-phone-12/1576473772
iPhone 8,64gb,$250.00,Phone is in great shape and comes with the original box. Has 64gb storage no scratches or cracks.,https://kijiji.ca/v-cell-phone/cape-breton/iphone-8-64gb/1576364547
iPhone 12, ,$800.00,"Completely brand new and boxed, comes complete with all supplied accessories, unlocked to all networks and never used or activated. It has a 1 year warranty from Apple after the phone is activated! Any questions or if you'd like to come and have a look get in touch. Thanks for looking!",https://kijiji.ca/v-cell-phone/canada/apple-iphone-12-pro-max-256gb-graphite-still-sealed-in-the-apple-box/cas_15986325
Iphone XR,64gb,$420.00,"iPhone XR 64 GB in good condition, works perfect with 92% of battery life Reason why I’m selling because I upgraded No scratches or cracks clean phone always in screen protector and case. Comes with ...",https://kijiji.ca/v-cell-phone/cape-breton/iphone-xr-64gb-white-colour/1576250446
I phone,gb.,Please Contact,gold lightly cracked and scratched iPhone 6s. 64 gb. Unlocked.,https://kijiji.ca/v-cell-phone/cape-breton/lightly-cracked-i-phone-6s-64gb/1576169535
iPhone 8,64gb,$350.00,Unlocked IPhone 8 Plus 64gb (red) Great condition Comes with brand new case and brand new tempered glass screen protector.,https://kijiji.ca/v-cell-phone/cape-breton/iphone-8-plus-64gb/1576199076
IPhone 6s, ,$200.00,Works perfectly. Upgraded for cheaper monthly Bill. Small crack in bottom left hand corner of front screen (3rd photo). Rose gold back. Purchased in 2016. Locked with Koodo.,https://kijiji.ca/v-cell-phone/cape-breton/iphone-6s-rose-gold/1576016044
iPhone 10, ,$200.00,iPhone ten with cracked back other then that’s the front screen is perfect 200,https://kijiji.ca/v-cell-phone/cape-breton/iphone-10-cracked-back-200/1575980475
iPhone XS, ,$600.00,Like new iPhone XS Max Reason for selling: upgraded! Battery Health is at 94%,https://kijiji.ca/v-cell-phone/cape-breton/iphone-xs-max-like-new-condition/1575979450
I phone, ,$200.00,1 year old ....works great.....great condition......upgraded to a new phone .....200 bananas ..... very firm,https://kijiji.ca/v-cell-phone/cape-breton/i-phone-8/1575925684
iPhone x,64gb,$300.00,"Looking to sell my gold iPhone xs, the front screen is cracked but doesn’t effect anything still works perfect. 64gb comes with a otter box case 300obo Text or call 9025785459",https://kijiji.ca/v-cell-phone/cape-breton/iphone-xs/1575833547
Iphone 12, ,$899.00,Phone has 100% battery health hasn't been used At all. I prefer android so selling it. Firm price No low ballers,https://kijiji.ca/v-cell-phone/cape-breton/iphone-12-mint-condition/1574689112
iPhone 11,64gb,$450.00,"I have an iPhone 11 64 gb for sale, has a few minor scratches on screen but nothing major, has a screen protector on with cracks in it, just left it on to keep the screen intact, asking 450 obo. ...",https://kijiji.ca/v-cell-phone/cape-breton/iphone-11-64-gb-bell/1575773626
iPhone Samsung, ,"$59.97
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/MjQwWDU5Ng==/z/9i8AAOSwE9hcYy4m/$_69.JPG"">","CELLULAR SAVINGS 5874367805 Cellularsavings.ca Info@cellularsavings.ca SELLING THE FOLLOWING PHONES STARTING AT $59.97.!! LIMITED TIME ONLY! We have a MASSIVE BLOWOUT SALE going on right now! For orders over $200, use the discount code #Blowout10 for $10 off your order. ***************************************",https://kijiji.ca/v-cell-phone/nova-scotia/iphone-samsung-pixel-lg-blow-out-sale/cas_15394016
I phone, ,$300.00,I have an I phone 8 plus. 88% battery life. selling cause I upgraded and no longer need it..,https://kijiji.ca/v-cell-phone/cape-breton/i-phone-8-plus/1575560376
iPhone Screen, ,Please Contact,"Offering 24/7 service, fast turn-around, ONLY high quality components. I've personally been fixing electronics for 10+ years and have been specifically working on iPhones since 2012. I have fixed ...",https://kijiji.ca/v-cell-phone/cape-breton/iphone-screen-replacements-24-7/1575455209
iPhone , ,$60.00,Front and back screen should be replaced STILL WORKS PERFECTLY FINE NO charger Case is included Rose gold in colour $60 firm,https://kijiji.ca/v-cell-phone/cape-breton/iphone-8/1575280947
iPhone 7, ,$250.00,iPhone 7 Plus 100% battery capacity brand new screen $250 obo,https://kijiji.ca/v-cell-phone/cape-breton/iphone-7-plus-mint/1575189137
iPhone 11, ,$900.00,"iPhone 11 Pro Max: - The phone is unlocked. - Perfect condition - It has never been outside of a full body, protective case (with screen protector). Included. - 8 months old, 95% battery health. - ...",https://kijiji.ca/v-cell-phone/cape-breton/iphone-11-pro-max/1574952796
iPhone se,gb.,$70.00,Used iPhone se. first generation. 64 gb. No cracks or scratches. Was used in a Telus contract.,https://kijiji.ca/v-cell-phone/cape-breton/iphone-se-first-generation/1565588710
iPhone 5,32gb,$40.00,Used iPhone 5s. 32gb of space. Was used on Telus contract. Crack across top of screen.,https://kijiji.ca/v-cell-phone/cape-breton/iphone-5s/1565588259
Iphone xs, ,$625.00,"Mint condition includes everything original, Selling because upgrade to 12 pro. Contact me if you interested. Thank you",https://kijiji.ca/v-cell-phone/cape-breton/iphone-xs-silver/1574589813
iPhone 1, ,$700.00,I am selling my iphone 11 it is in excellent condition and works great! Just looking to upgrade . Battery life is 89% asking $700 OBO comes with original box and otter box phone case,https://kijiji.ca/v-cell-phone/cape-breton/iphone-11/1574532678
I phone, ,$250.00,The phones in great condition no scratches or cracks phone works great comes with life proof case if your interested call or text me at 902-919-6856 250 for the phone and case,https://kijiji.ca/v-cell-phone/cape-breton/i-phone-8-for-sale/1574485387
Iphone 5s, ,$100.00,"Posted by Candice in phones, cell phones in Nova Scotia, Cape Breton. June 30, 2021",https://kijiji.ca/v-cell-phone/cape-breton/iphone-5s-in-mint-condition/1574191747
iPhone 1,64gb.,$650.00,"Selling my iPhone 11 in purple 64GB. it was just purchased in December 2020. Phone has had a screen protector and otter box since the day I bought it, so no scratches / marks on it. Provider is ...",https://kijiji.ca/v-cell-phone/cape-breton/iphone-11/1574005387
I phone,64gb,$350.00,"64 gb iPhone 10 XR with otter box , no cracks 90% battery life",https://kijiji.ca/v-cell-phone/cape-breton/i-phone-10-xr/1573972898
